collocate,freq_collocate,freq_text,MI
simple,1,111,1.9768859041999098
below,1,112,1.9639468484924116
toward,1,114,1.938411756385274
beautiful,1,116,1.9133207754224435
appeared,1,116,1.9133207754224435
cross,1,119,1.8764840072420723
most,5,613,1.8334866017465967
clara,2,247,1.822934538965338
water,2,249,1.811299838481935
returned,1,126,1.7940218470500993
business,1,129,1.7600745151267616
thousand,1,130,1.7489339575215612
power,1,132,1.7269076511915624
five,1,135,1.694486173499185
beyond,1,137,1.673269687589489
sound,1,140,1.6420187536050492
knows,1,141,1.6317504181512223
rose,1,144,1.6013767691077032
therefore,1,146,1.5814772116699987
black,1,151,1.5328970312249368
daughter,1,152,1.5233742571064302
sweet,1,153,1.513913927857364
coming,1,154,1.5045152298551145
girl,1,154,1.5045152298551145
while,3,477,1.4584188152656603
scarcely,1,160,1.4493736756626536
three,2,324,1.431451767665391
course,2,326,1.4225736163189382
whether,1,165,1.4049795563042
turn,1,169,1.3704223342678314
little,7,1191,1.3606989947435058
stood,2,350,1.320090658717687
uncle,2,353,1.3077773972788354
deep,1,180,1.279448674220341
letter,1,182,1.2635071303513195
clear,1,186,1.2321429594419844
lily,1,197,1.1492499510936396
death,1,200,1.127445580775291
without,3,601,1.1250430905599864
whom,1,207,1.0778148130506906
lady,2,416,1.0708620524089234
here,3,686,0.9341995050983596
door,2,458,0.9320979824530718
dark,1,238,0.8764840072420722
mine,1,239,0.8704349625692671
passed,1,239,0.8704349625692671
alone,1,252,0.7940218470500994
their,3,758,0.7902102331000803
things,2,527,0.729642618912801
with,17,4603,0.6904058845764688
side,1,273,0.6785446296301634
eyes,3,837,0.6471804587208283
from,8,2249,0.6362338247721989
rather,1,284,0.6215546510453336
name,1,285,0.6164836614979118
began,1,286,0.6114304337716262
think,2,573,0.6089104417931109
called,1,289,0.596376088049337
every,2,596,0.5521332500878542
years,1,310,0.4951773652757781
sister,1,313,0.48128292361739744
over,2,635,0.46068898889048765
came,2,636,0.4584188152656605
woman,1,321,0.44487228342771257
dear,2,657,0.4115522102276862
having,1,332,0.396262339203091
like,3,1014,0.37042233426783133
another,1,342,0.35344925566411783
place,1,358,0.2874859932857592
took,1,358,0.2874859932857592
white,1,360,0.2794486742203411
down,2,727,0.2654902166304214
this,6,2390,0.13346936840306106
very,3,1229,0.09299507089851011
mary,1,411,0.08830718686833283
found,1,415,0.07433424431572874
some,2,850,0.039982739524951634
done,1,426,0.03659215032417739
just,1,431,0.019757711460917517
could,4,1761,-0.010877423281192634
himself,1,451,-0.04568185270536527
still,1,455,-0.0584209645360429
quite,1,480,-0.13558882505850284
been,3,1492,-0.18676754898406597
seemed,1,511,-0.22587771038760557
life,1,518,-0.2455065171365382
love,1,521,-0.25383779172849247
there,3,1607,-0.29388994240392186
knew,1,560,-0.3579812463949508
thought,1,566,-0.37335647228186675
first,1,576,-0.39862323089229673
ever,1,581,-0.4110925828545131
racksole,1,607,-0.4742509357056663
hand,1,620,-0.5048226347242218
where,1,622,-0.5094689995805869
through,1,623,-0.5117865824739862
prioress,1,644,-0.5596151075646012
great,1,694,-0.6674900820282452
made,1,712,-0.704431660416382
your,2,1435,-0.7155332510130344
were,2,1455,-0.7355016672456306
that,9,6668,-0.7618116169940888
then,2,1501,-0.7804064910706726
much,1,758,-0.794752267621076
come,1,842,-0.9463746525163804
well,1,854,-0.9667904890704746
about,1,861,-0.9785676568468284
time,1,920,-1.0741882803943594
father,1,927,-1.085123758075515
into,1,953,-1.1250306333599263
which,2,2000,-1.1944825141120716
than,1,1043,-1.25522167196975
never,1,1162,-1.4110925828545131
them,1,1279,-1.5494987783316214
more,1,1296,-1.568548232334609
upon,1,1307,-1.5807416552454177
when,1,1604,-1.8761566559049048
have,2,3321,-1.9261002369526927
would,1,1793,-2.036858002318359
